date,Volume
05/5/2021,4989488.888888889
05/2/2021,2697315.3846153845
05/11/2020,1128035.3846153845
05/8/2020,1558509.2307692308
05/5/2020,2991495.0
05/2/2020,1951727.5
05/11/2019,3258795.0
05/8/2019,3808810.909090909
05/5/2019,3745628.5714285714
05/2/2019,1437092.0
05/11/2018,1745810.9090909092
05/8/2018,2061339.0909090908
05/5/2018,679002.5
05/2/2018,1625822.2222222222
05/11/2017,1156285.4545454546
05/8/2017,747561.6666666666
05/5/2017,1227845.0
05/2/2017,1071416.6666666667
05/11/2016,213796.83333333334
05/8/2016,512570.92307692306
05/5/2016,458047.6
05/2/2016,509692.0
05/11/2015,271748.1538461539
05/8/2015,98063.53846153847
05/5/2015,293646.375
05/2/2015,516323.07692307694
05/11/2014,106861.53846153847
05/8/2014,165125.83333333334
05/5/2014,189137.5
05/2/2014,520916.6666666667
05/11/2013,480908.3333333333
05/8/2013,82854.54545454546
05/5/2013,139328.57142857142
05/2/2013,336183.3333333333
05/11/2012,258872.72727272726
05/8/2012,110927.27272727272
05/5/2012,341777.77777777775
05/2/2012,148783.33333333334
05/11/2011,146541.66666666666
05/8/2011,88669.23076923077
05/5/2011,145570.0
05/2/2011,227214.2857142857
05/11/2010,340192.3076923077
05/8/2010,256438.46153846153
05/5/2010,
05/2/2010,
05/11/2009,
05/8/2009,
05/5/2009,
05/2/2009,
05/11/2008,
05/8/2008,
05/5/2008,
05/2/2008,
